City,Colors Reported,Shape Reported,State,Time
Madisonville,,DISK,KY,8/31/2000 22:00
Aquebogue,,LIGHT,NY,8/31/2000 21:30
Bouse,,LIGHT,AZ,8/31/2000 21:15
Columbia Heights,RED,OTHER,MN,8/31/2000 20:43
Ft. Worth,,CONE,TX,8/30/2000 23:00
Maybrook,,OTHER,NY,8/30/2000 22:30
West Danville,,LIGHT,VT,8/30/2000 22:30
Lakewood,,LIGHT,CO,8/30/2000 22:18
Redfield,,FORMATION,NY,8/30/2000 22:05
Elkton,,VARIOUS,OR,8/30/2000 22:00
Indian Lake,,FORMATION,NY,8/30/2000 22:00
Long Lake,,FORMATION,NY,8/30/2000 21:45
Jacksonville,,LIGHT,FL,8/30/2000 21:30
Troy,,LIGHT,OH,8/30/2000 21:10
Waltham,,OTHER,MA,8/30/2000 10:15
Everett,YELLOW,LIGHT,WA,8/30/2000 1:30
Wildomar,,DISK,CA,8/29/2000 8:30
Roslyn,,,WA,8/29/2000 5:10
Lake Tawakoni,,,TX,8/29/2000 23:50
Streetsboro,,LIGHT,OH,8/29/2000 23:31
Victorville,,FIREBALL,CA,8/29/2000 23:30
Lake Havasu,,OTHER,AZ,8/29/2000 23:00
San Francisco,GREEN,TRIANGLE,CA,8/29/2000 22:15
Starkville,GREEN,FIREBALL,MS,8/29/2000 22:00
Gay Head,RED,CIRCLE,MA,8/29/2000 22:00
Houston County,,SPHERE,TN,8/29/2000 21:50
Culver City,,LIGHT,CA,8/29/2000 21:48
Claremore,,,OK,8/29/2000 20:00
West Seneca,,EGG,NY,8/29/2000 18:45
Sedona,,SPHERE,AZ,8/29/2000 16:00
Lawrence,,OTHER,KS,8/29/2000 13:30
Albuquerque,,CIRCLE,NM,8/29/2000 12:48
San Diego,,CIRCLE,CA,8/29/2000 1:27
Uniondale,,FIREBALL,NY,8/29/2000 0:15
Sun Prairie,,FORMATION,WI,8/28/2000 6:00
Yreka,,DIAMOND,CA,8/28/2000 4:08
Placerville,,,CA,8/28/2000 3:40
Arnold,,LIGHT,MO,8/28/2000 23:41
Newcastle,GREEN,FIREBALL,CA,8/28/2000 23:23
Gerlach,,OTHER,NV,8/28/2000 22:51
Shorewood,,SPHERE,MN,8/28/2000 22:25
Canton,,DISK,NY,8/28/2000 22:15
Lenexa,ORANGE,LIGHT,KS,8/28/2000 22:15
West Covina,RED,DISK,CA,8/28/2000 22:08
Garden City,,LIGHT,SC,8/28/2000 22:00
Dupo,,DIAMOND,IL,8/28/2000 21:00
Gerlach,,,NV,8/28/2000 21:00
Chickamauga,,LIGHT,GA,8/28/2000 20:30
Warrington,,CHEVRON,FL,8/28/2000 20:15
Prairie   Grove,,CIGAR,AR,8/28/2000 20:00
Zortman,,OTHER,MT,8/28/2000 20:00
La Pine,,DISK,OR,8/28/2000 19:35
New York City,,VARIOUS,NY,8/28/2000 19:00
Hillsboro,,SPHERE,NJ,8/28/2000 17:30
Hillsborough,,SPHERE,NJ,8/28/2000 17:30
Arizona,,,AZ,8/27/2000 4:20
Redding,RED,,CA,8/27/2000 3:00
Millis,,CIRCLE,MA,8/27/2000 23:50
Eugene,,VARIOUS,OR,8/27/2000 23:00
Malone,,CIRCLE,NY,8/27/2000 22:10
Katy,RED,OVAL,TX,8/27/2000 21:00
Carbondale,,LIGHT,IL,8/27/2000 20:45
American Falls,BLUE,DISK,IL,8/27/2000 17:00
Middletown,YELLOW,OTHER,CA,8/27/2000 17:00
Molalla,,DISK,OR,8/27/2000 12:45
NJ Turnpike,,SPHERE,NJ,8/27/2000 10:24
Pasadena,RED,DISK,CA,8/26/2000 9:30
Twin Falls,,FIREBALL,ID,8/26/2000 23:59
Fairfield,RED YELLOW,LIGHT,CA,8/26/2000 23:30
Goverment Camp,ORANGE,LIGHT,OR,8/26/2000 23:30
Yorba Linda,,OTHER,CA,8/26/2000 23:10
Florence,,LIGHT,OR,8/26/2000 23:00
Grantsville,,FIREBALL,UT,8/26/2000 22:50
Salt Lake City,,FIREBALL,UT,8/26/2000 22:42
San Diego,RED,FIREBALL,CA,8/26/2000 22:00
Trout Creek Recreation,,LIGHT,OR,8/26/2000 22:00
San Diego,,CIRCLE,CA,8/26/2000 21:50
Fresno,,LIGHT,CA,8/26/2000 21:30
San Diego,RED,TRIANGLE,CA,8/26/2000 21:30
Portland,,LIGHT,OR,8/26/2000 21:13
San Diego,,LIGHT,CA,8/26/2000 21:05
Pottsburo,,LIGHT,TX,8/26/2000 20:00
Portland,RED,OTHER,OR,8/26/2000 2:45
Portland,,OTHER,OR,8/26/2000 18:00
Sebastopol,,SPHERE,CA,8/26/2000 11:30
Las Vegas,RED,FORMATION,NV,8/26/2000 0:30
Fort Lauderdale,,LIGHT,FL,8/26/2000 0:00
West Tisbury,,CIRCLE,MA,8/25/2000 9:00
White Sands,,CIRCLE,NM,8/25/2000 7:30
Waverly,RED YELLOW,LIGHT,KY,8/25/2000 5:03
LeSueur,,LIGHT,MN,8/25/2000 23:55
Maple Falls,,FORMATION,WA,8/25/2000 23:30
Walnut Hill,,TRIANGLE,IL,8/25/2000 23:10
Mackinaw,,VARIOUS,MI,8/25/2000 23:00
Wapakoneta,BLUE,CONE,OH,8/25/2000 23:00
Loveland,ORANGE,DISK,CO,8/25/2000 23:00
Presque Isle,,LIGHT,ME,8/25/2000 22:30
Lewiston,RED GREEN,CIRCLE,ME,8/25/2000 22:30
Concord,,LIGHT,NH,8/25/2000 22:05
Bellingham,,TRIANGLE,WA,8/25/2000 22:00
Fontana,,CIRCLE,CA,8/25/2000 22:00
Newbury Park,,DISK,CA,8/25/2000 22:00
Las Vegas,,FLASH,NV,8/25/2000 22:00
Dallas,,CIGAR,TX,8/25/2000 21:44
Lake Havasu City,ORANGE,CONE,AZ,8/25/2000 21:43
On the Mass Pike: Rt. 90,,FORMATION,MA,8/25/2000 21:30
Grand Prairie,,FIREBALL,TX,8/25/2000 21:30
Gilbert,,LIGHT,AZ,8/25/2000 21:20
Hopkinton,,LIGHT,RI,8/25/2000 21:05
Little Rock,,DISK,AR,8/25/2000 21:02
Burke,,CIRCLE,VA,8/25/2000 21:00
Bothell,,OTHER,WA,8/25/2000 21:00
Phoenix,,CIRCLE,AZ,8/25/2000 20:35
Chandler,,LIGHT,AZ,8/25/2000 20:20
Chandler,,CIRCLE,AZ,8/25/2000 20:15
Gilbert,RED,LIGHT,AZ,8/25/2000 20:15
Tyler,,TRIANGLE,TX,8/25/2000 20:15
Chandler,RED,LIGHT,AZ,8/25/2000 20:14
Gilbert,RED,LIGHT,AZ,8/25/2000 20:10
Mesa,RED,CIRCLE,AZ,8/25/2000 20:05
Phoenix,RED ORANGE,LIGHT,AZ,8/25/2000 20:05
Chandler,RED,LIGHT,AZ,8/25/2000 20:00
Gilbert,RED,,AZ,8/25/2000 20:00
Gilbert,RED,LIGHT,AZ,8/25/2000 20:00
East Petersburg,BLUE,CIRCLE,PA,8/25/2000 18:30
Wayne,,SPHERE,NJ,8/25/2000 17:00
Beaumont,,,TX,8/25/2000 17:00
Portland,,SPHERE,OR,8/25/2000 15:05
Noxapater,,CONE,MS,8/25/2000 10:15
Ringgold,,TRIANGLE,GA,8/25/2000 1:50
Bothell,,OTHER,WA,8/25/2000 1:30
Liberty,,LIGHT,WA,8/25/2000 1:30
Smithville,,CIRCLE,TX,8/25/2000 0:40
Santa Monica,,TRIANGLE,CA,8/24/2000 9:30
Diamond Bar,ORANGE,CIRCLE,CA,8/24/2000 9:15
Denver,,TRIANGLE,CO,8/24/2000 4:45
Springbrook,RED,LIGHT,WI,8/24/2000 3:00
Trout Lake,,FORMATION,WA,8/24/2000 23:51
Bow,,FIREBALL,WA,8/24/2000 23:20
Tacoma,,LIGHT,WA,8/24/2000 23:00
Adams,,LIGHT,NY,8/24/2000 22:14
Shoreline,,LIGHT,WA,8/24/2000 22:04
Tupper Lake,,CIGAR,NY,8/24/2000 22:00
Indianapolis,,FLASH,IN,8/24/2000 20:30
Gilbert,RED,SPHERE,AZ,8/24/2000 20:20
Gilbert,RED,LIGHT,AZ,8/24/2000 20:10
Chandler,RED,OVAL,AZ,8/24/2000 20:00
Gilbert,RED,LIGHT,AZ,8/24/2000 20:00
Gilbert,RED,,AZ,8/24/2000 19:52
Luna,,RECTANGLE,LA,8/24/2000 19:30
St. Petersburg,RED,SPHERE,FL,8/24/2000 18:45
Renton,,FORMATION,WA,8/24/2000 11:45
Londonderry,,OVAL,NH,8/24/2000 11:00
Nevada City,RED GREEN BLUE,SPHERE,CA,8/24/2000 1:30
